MAE,RMAE,MSE,RMSE,PSEUDOR2,CommonPartOfCommuters,sha,path
211299457.5704337,0.1596241195791948,2.2852548159966328e+18,1511705929.073718,0.9754546910339396,0.919933576919892,df29b97351a03cdfaae36dc1287650741e483ce8,../Random_forest/trade_prediction.csv
,,,,,0.0,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-02_04:38:35.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-04_21:03:29.csv
1255438488.723071,0.9484087926797216,8.331196342781945e+19,9127538738.773966,0.1051685489991451,0.301651808580962,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-04-16_21:33:25.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-04-28_01:55:14.csv
188015329.3111556,0.1420343514070857,2.0175074446643727e+18,1420389891.7777376,0.9783304937270124,0.9293474700272112,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-04_16:56:36.csv
4447375642.691945,3.3597266626490003,2.1674614400967773e+21,46556003265.92455,-22.28012191323007,-1.623497723502449,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-01_10:00:16.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-04-21_01:43:03.csv
8121373337.539747,6.135212478463666,3.944648023548689e+20,19861137992.44316,-3.236840628126478,0.1377601430639834,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-02_12:58:15.csv
254026746.31711632,0.1919020341872897,4.128512352148377e+18,2031874098.498324,0.9556567562862852,0.9004134528522318,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-03_15:34:21.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,df29b97351a03cdfaae36dc1287650741e483ce8,../Deep_gravity/trade_predictions/prediction_2023-05-03_03:04:40.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,df29b97351a03cdfaae36dc1287650741e483ce8,../GNN_model/DCRNN_OLS_trade_predictions.csv
211299457.5704337,0.1596241195791948,2.2852548159966328e+18,1511705929.073718,0.9754546910339396,0.919933576919892,edcdfdc720489e352e2d78077df8513ea6ed8221,../Random_forest/trade_prediction.csv
,,,,,0.0,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-02_04:38:35.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-04_21:03:29.csv
1255438488.723071,0.9484087926797216,8.331196342781945e+19,9127538738.773966,0.1051685489991451,0.301651808580962,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-04-16_21:33:25.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-04-28_01:55:14.csv
188015329.3111556,0.1420343514070857,2.0175074446643727e+18,1420389891.7777376,0.9783304937270124,0.9293474700272112,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-04_16:56:36.csv
4447375642.691945,3.3597266626490003,2.1674614400967773e+21,46556003265.92455,-22.28012191323007,-1.623497723502449,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-01_10:00:16.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-04-21_01:43:03.csv
8121373337.539747,6.135212478463666,3.944648023548689e+20,19861137992.44316,-3.236840628126478,0.1377601430639834,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-02_12:58:15.csv
254026746.31711632,0.1919020341872897,4.128512352148377e+18,2031874098.498324,0.9556567562862852,0.9004134528522318,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-03_15:34:21.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,edcdfdc720489e352e2d78077df8513ea6ed8221,../Deep_gravity/trade_predictions/prediction_2023-05-03_03:04:40.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,edcdfdc720489e352e2d78077df8513ea6ed8221,../GNN_model/DCRNN_OLS_trade_predictions.csv
211299457.5704337,0.1596241195791948,2.2852548159966328e+18,1511705929.073718,0.9754546910339396,0.919933576919892,c332931ad56ff06a4a635d779df76532c5ce9e45,../Random_forest/trade_prediction.csv
,,,,,0.0,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-02_04:38:35.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-04_21:03:29.csv
1255438488.723071,0.9484087926797216,8.331196342781945e+19,9127538738.773966,0.1051685489991451,0.301651808580962,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-04-16_21:33:25.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-04-28_01:55:14.csv
188015329.3111556,0.1420343514070857,2.0175074446643727e+18,1420389891.7777376,0.9783304937270124,0.9293474700272112,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-04_16:56:36.csv
4447375642.691945,3.3597266626490003,2.1674614400967773e+21,46556003265.92455,-22.28012191323007,-1.623497723502449,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-01_10:00:16.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-04-21_01:43:03.csv
8121373337.539747,6.135212478463666,3.944648023548689e+20,19861137992.44316,-3.236840628126478,0.1377601430639834,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-02_12:58:15.csv
254026746.31711632,0.1919020341872897,4.128512352148377e+18,2031874098.498324,0.9556567562862852,0.9004134528522318,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-03_15:34:21.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,c332931ad56ff06a4a635d779df76532c5ce9e45,../Deep_gravity/trade_predictions/prediction_2023-05-03_03:04:40.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,c332931ad56ff06a4a635d779df76532c5ce9e45,../GNN_model/DCRNN_OLS_trade_predictions.csv
211299457.5704337,0.1596241195791948,2.2852548159966328e+18,1511705929.073718,0.9754546910339396,0.919933576919892,3abb73dfecd0898561c811fb3a94117dd05091b2,../Random_forest/trade_prediction.csv
,,,,,0.0,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-02_04:38:35.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-04_21:03:29.csv
1255438488.723071,0.9484087926797216,8.331196342781945e+19,9127538738.773966,0.1051685489991451,0.301651808580962,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-04-16_21:33:25.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-04-28_01:55:14.csv
188015329.3111556,0.1420343514070857,2.0175074446643727e+18,1420389891.7777376,0.9783304937270124,0.9293474700272112,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-04_16:56:36.csv
4447375642.691945,3.3597266626490003,2.1674614400967773e+21,46556003265.92455,-22.28012191323007,-1.623497723502449,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-01_10:00:16.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-04-21_01:43:03.csv
8121373337.539747,6.135212478463666,3.944648023548689e+20,19861137992.44316,-3.236840628126478,0.1377601430639834,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-02_12:58:15.csv
254026746.31711632,0.1919020341872897,4.128512352148377e+18,2031874098.498324,0.9556567562862852,0.9004134528522318,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-03_15:34:21.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,3abb73dfecd0898561c811fb3a94117dd05091b2,../Deep_gravity/trade_predictions/prediction_2023-05-03_03:04:40.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,3abb73dfecd0898561c811fb3a94117dd05091b2,../GNN_model/DCRNN_OLS_trade_predictions.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,ae2d0d53c24b6fcbaccce92fc890f5f6202fd93a,../GNN_model/DCRNN_OLS_trade_predictions.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,ae2d0d53c24b6fcbaccce92fc890f5f6202fd93a,../Deep_gravity/trade_predictions/prediction_2023-04-21_01:43:03.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,ae2d0d53c24b6fcbaccce92fc890f5f6202fd93a,../Deep_gravity/trade_predictions/prediction_2023-05-04_21:03:29.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,ae2d0d53c24b6fcbaccce92fc890f5f6202fd93a,../Deep_gravity/trade_predictions/prediction_2023-05-03_03:04:40.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,ae2d0d53c24b6fcbaccce92fc890f5f6202fd93a,../Deep_gravity/trade_predictions/prediction_2023-04-28_01:55:14.csv
